% Quaternary faults in Asia
% From Philip.England@earth.ox.ac.uk Thu Apr 18 17:00:52 2002
% Appendix A: GJI (1997) 130, p. 551-582
% Annotated by Shawn Lawrence
%								Horizontal	Slip-vector
% 	Lat. 	Long. 	Lat. 	Long. 	Strike 	dip 	slip 	rate	+-	rate	+-
%	dg N	dg E	dg N	dg E	dg	dg	dg	mm/a	mm/a	mm/a	mm/a
% 
% Baikal-Hovsgol region
%
	57.2	120.8	55.5	116.0	051	45	270	2.0	1.0	2.8	1.4
	56.6	116.0	53.7	110.0	047	45	270	1.0	0.5	1.4	0.7
	56.3	112.3	54.0	109.0	041	45	270	2.0	1.0	2.8	1.4
	54.0	109.0	51.8	105.0	046	45	270	3.0	1.5	4.2	2.1
	51.8	105.0	51.8	 99.5	090	45	270	2.0	1.0	2.8	1.4
	51.8	105.0	51.8	 99.5	090	45	000	2.0	1.0	2.0	1.0
	51.8	100.5	49.5	100.0	008	45	270	1.0	0.7	1.4	1.0
	51.8	 99.3	49.5	 99.0	005	45	270	1.0	0.7	1.4	1.0
	51.8	 98.5	49.5	 98.0	008	45	270	1.0	0.7	1.4	1.0
%
% Western Mongolia: Bulnay fault, Gobi-Altay and Mongolian Altay
% 
	49.5	 93.0	49.3	 99.2	094	90	000	5.0	3.0	5.0	3.0
	48.0	 96.0	45.5	102.0	119	45	090	0.5	0.3	0.7	0.4
	46.0	 99.0	48.0	102.5	049	45	270	0.5	0.3	0.7	0.4
	45.0	 94.5	44.4	102.3	100	90	000	4.0	2.0	4.0	2.0
	45.0	 94.5	44.4	102.3	100	45	090	2.0	1.0	2.8	1.4
	50.5     91.0   45.0     94.5	157	90	180	6.0	4.0	6.0	4.0
	50.5	 91.0	45.0	 94.5	157	45	090	3.0	2.0	4.2	2.1
	50.0	 84.5	45.0	 93.0	128	90	180	4.0	2.0	4.0	2.0
	50.0	 84.5	45.0	 93.0	128	45	090	2.0	1.0	2.8	1.4
	50.5	 84.0	52.0	 92.0	070	45	090	1.0	1.0	1.4	1.4
	52.0	 92.0	51.0	 96.5	096	45	090	1.0	1.0	1.4	1.4
%
% Tien Shan
%
	43.5	 95.0	43.7	 90.0	091	45	090	5.0	2.5	7.1	3.5
	43.7	 90.0	43.3	 85.0	084	45	090	10.0	5.0	14.1	7.1
	43.3	 85.0	42.2	 79.0	079	45	090	15.0	8.0	21.2	11.3
	42.2	 79.0	41.0	 75.0	079	45	090	20.0	6.0	28.3	8.5
	42.1	 75.0	42.1	 72.0	090	45	090	6.0	3.0	8.5	4.2
	42.2	 71.4	41.5	 73.3	116	90	180	10.0	3.0	10.0	3.0
	41.5	 73.3	40.6	 74.7	130	90	180	10.0	3.0	10.0	3.0
	40.5	 70.0	42.0	 72.0	045	45	090	5.0	3.0	7.1	4.2
	44.2	 83.6	46.5	 80.1	132	90	180	3.0	1.0	3.0	1.0
	44.3	 78.5	45.3	 81.8	066	45	090	1.4	0.7	2.0	1.0
	47.6	 81.3	47.0	 86.0	099	45	090	2.0	1.0	2.8	1.4
%
% Pamir and South Tien Shan
%
	40.0	 70.0	40.4	 74.0	082	10	090	3.0	1.0	3.0	1.0
	39.0	 70.0	39.5	 74.5	080	10	090	22.0	6.0	22.0	6.0
	39.4	 75.1	37.0	 77.5	141	45	090	5.0	5.0	7.1	7.1
	39.3	 74.2	38.2	 75.4	140	90	180	15.0	10.0	15.0	10.0
	38.1	 75.2	36.9	 75.5	168	90	180	22.0	10.0	22.0	10.0
	36.9	 75.5	36.0	 76.5	138	90	180	22.0	10.0	22.0	10.0
%
% The Altyn Tagh fault and surroundings
%
	37.0	 77.5	36.5	 80.4	101	45	090	8.0	4.0	11.3	5.6
	37.6	 75.4	36.4	 77.0	134	90	000	19.9	20.0	19.9	20.0
	36.4	 77.0	35.9	 80.1	100	90	000	19.9	20.0	19.9	20.0
	35.9	 80.1	35.8	 81.0	098	90	000	19.9	20.0	19.9	20.0
	35.8	 81.0	36.0	 82.0	080	90	000	19.9	20.0	19.9	20.0
	36.0	 82.0	39.1	 92.5	067	90	000	29.8	10.0	29.8	10.0
	39.1	 92.5	39.9	 96.0	072	90	000	9.0	6.0	9.0	6.0
	39.9	 96.0	40.0	 96.9	075	90	000	4.0	2.0	4.0	2.0
	39.2	 92.7	39.5	 96.0	082	90	000	5.0	3.0	5.0	3.0
	37.5	 86.0	38.8	 88.3	054	45	090	6.0	4.0	8.5	5.6
	38.8	 88.3	39.2	 92.4	082	45	090	6.0	4.0	8.5	5.6
	39.2	 92.4	40.0	 97.5	077	45	090	3.0	3.0	4.2	4.2
%
% The Tibetan Plateau: Northern Tibet
%
	34.2	 78.0	34.6	 81.0	080	90	000	8.5	5.0	8.5	5.0
	34.6	 81.0	36.0	 82.0	030	45	270	8.5	5.0	12.0	7.1
	34.5	 81.6	32.7	 83.0	000	45	270	1.0	0.7	1.4	1.0
	35.3	 84.2	32.5	 85.5	000	45	270	1.0	0.7	1.4	1.0
	35.3	 84.2	32.5	 85.5	158	90	180	1.0	0.7	1.0	0.7
	35.9	 85.4	33.8	 86.7	165	45	270	1.0	0.7	1.4 	1.0
	35.5	 85.5	32.1	 87.0	000	45	270	1.0	0.7	1.4	1.0
	32.2	 87.5	33.6	 88.8	000	45	270	1.0	0.7	1.4	1.0
	34.2	 87.5	33.6	 88.8	119	90	180	1.0	0.7	1.0	0.7
	33.4	 89.5	31.6	 94.0	114	90	000	1.0	0.7	1.0	0.7
	31.5	 90.5	32.3	 92.0	000	45	270	1.0	0.7	1.4	1.0
%
% The Tibetan Plateau: Karakorum fault
%
	36.0	 76.5	34.2	 78.1	149	90	180	22.0	10.0	22.0	10.0
	34.2	 78.1	32.2	 79.9	142	90	180	35.0	10.0	35.0	10.0
	32.2	 79.9	31.1	 80.4	120	90	180	30.0	15.0	30.0	15.0
%
% The Tibetan Plateau: Central Tibet
%
	32.8	 80.6	32.0	 82.4	115	90	180	15.0	5.0	15.0	5.0
	32.5	 82.1	32.0	 83.8	110	90	180	15.0	5.0	15.0	5.0
	31.7	 87.0	30.8	 88.7	121	90	180	15.0	5.0	15.0	5.0
	31.4	 90.8	31.0	 91.6	120	90	180	15.0	5.0	15.0	5.0
	30.7	 92.4	29.9	 95.5	106	90	180	15.0	5.0	15.0	5.0
%
% The Tibetan Plateau: Southern Tibet
